province;section;town;name;address;borough;startBoard;endBoard
2;7;121;ESCUELA ES N°7;29 N°1151;980;7;16
2;7;121;ESC.RECONOCIDA S.E.U SAN JOSE;10 N°545;980;17;19
2;7;121;ESCUELA EDUC.ESPECIAL N°501;27 E/13 Y 14 S/N°;980;20;23
2;7;121;CTRO.EDUC.COMPLEMENTARIO N°802;27 E/2 Y 3 S/N°;980;24;25
2;7;121;COLEG.SAN FRANCISCO DE XABIER;9 N°693;980;26;27
2;7;121;ESCUELA EP N°1;27 N°866;980;28;33
2;7;121;ESCUELA EP N°3;14 Y 28 S/N°;980;34;37
2;7;121;ESCUELA EP N°7;41 Y 102 - B°EL CARMEN;980;38;40
2;7;121;ESCUELA EP N°5;5 N°1287;980;41;46
2;7;121;ESCUELA EP N°4;7 Y 23 N°419;980;50;53
2;7;121;ESCUELA EP N°25;12 E/301 Y 302;980;54;59
2;7;121;ESCUELA ES N°1;13 N°599;980;60;63
2;7;121;INST.EVANG.ASAMBLEA CRISTIANA;6 N°1850;980;47;49
2;7;121;ESCUELA EST N° 1;18 N°1648;980;1;6
2;7;121;ESCUELA EP N°16;11 E/41 Y 42;981;64;64
2;7;121;COLEGIO SAN TARSICIO;S/C S/N°;982;65;65
2;7;121;ESCUELA EP N°14;2 DE ABRIL S/N°;983;66;68
2;7;121;ESCUELA EP N°20;LUGONES 220;983;69;72
2;7;121;ESCUELA ES N°2;MITRE Y GUEMES;983;73;78
2;7;121;ESCUELA EP N°21;AV.JORGE KEEN Y M.BELGRANO;984;79;83
2;7;121;ESCUELA ES N°6;SAN MARTIN Y ENTRE RIOS;985;84;85
2;7;121;COLEG.SAN FRANCISCO DE XABIER;9 N°693;986;86;86
2;7;121;ESCUELA EP N°2;S/C S/N°;987;87;87
2;7;121;ESCUELA EP N°23;AV.CIRCUNVALACION E/2 Y 3;988;88;90
2;7;121;ESCUELA EP N°13;10 E/11 Y 13 S/N;989;91;91
2;7;121;ESCUELA EP N°11;SARMIENTO E/CORDOBA Y SANTA FE;990;92;92
2;7;121;ESCUELA EP N°31/ES N°3;7 Y 14 S/N;991;93;94
2;7;6;COLEGIO INMACULADA CONCEPCION;COLON 718;60;1;7
2;7;6;ESCUELA NORMAL SUPERIOR;AV.25 DE MAYO 777;60;15;25
2;7;6;ESCUELA ES N°5;COLON 428;60;37;51
2;7;6;ESCUELA EP N°2;COLON 498;60;52;63
2;7;6;ESCUELA ES N°1;BURGOS 402;60;74;79
2;7;6;ESCUELA EP N°28;PELLEGRINI 1208;60;80;89
2;7;6;ESCUELA EST N°2;COLON 520;60;96;99
2;7;6;ESCUELA EP N°62;ARGENTINA 224;60;100;105
2;7;6;ESCUELA EP N°64/ES N°8;ALDAZ 398;60;106;109
2;7;6;ESCUELA EP N°1/ES N°10;RIVADAVIA 880;60;110;118
2;7;6;ESCUELA EP N°18/ES N°11;INT.M.CASTELAR 1245;60;119;124
2;7;6;ESCUELA EP N°7/ES N°9;CONSTITUCION 355;60;125;130
2;7;6;COLEGIO SAGRADA FAMILIA;LEYRIA 426;60;131;135
2;7;6;ESCUELA EP N°66;RAUCH 114;60;136;142
2;7;6;ESCUELA EP N°13;MAIPU 150;60;67;73
2;7;6;ESCUELA EP N°14;COMERCIO 859;60;8;14
2;7;6;ESCUELA EP N°17;AV.MITRE 826;60;26;36
2;7;6;ESCUELA EP N°21;SARGENTO CABRAL 850;60;90;95
2;7;6;INSTITUTO SEC.SAN FCO.DE ASIS;GRAL PAZ 221;60;64;66
2;7;6;ESCUELA EP N°1/EES N°10;RIVADAVIA 880;61;143;143
2;7;6;ESCUELA EP N°56;BELGRANO 481;62;144;147
2;7;6;ESCUELA ES N°3;BELGRANO Y CORTAZAR 280;62;148;152
2;7;6;ESCUELA EP N°20;LAS MAGNOLIAS 210;62A;153;153
2;7;6;ESCUELA EP N°37/JARDIN N°911;ESTACION P.ACOSTA;62B;154;154
2;7;6;ESCUELA EP N°33;RUTA 226 KM.221 1/2;63;155;155
2;7;6;COLEGIO INMACULADA CONCEPCION;COLON 718;64;156;156
2;7;6;ESCUELA EP N°5;ECION.PARISH;65;157;157
2;7;6;ESCUELA EP N°36;RUTA 51 PROLONG.CHAVEZ;66;158;158
2;7;6;ESCUELA EP N°6;ALVEAR 881;67;159;162
2;7;6;ESCUELA EP N°23;SAN MARTIN 1431;67;163;166
2;7;6;INSTITUTO DEL CARMEN/EP /ES;AVELLANEDA 288;67;167;168
2;7;6;ESCUELA EP N°25;CUARTEL 10°-ESTACION ARIEL;68;169;169
2;7;6;ESCUELA EP N°29;RUTA PROVINCIAL 50;69;170;170
2;7;13;ESCUELA ES N°4;PROF.A.CANCIO 230;125;7;12
2;7;13;ESCUELA EP N°6;URQUIZA 465;125;18;25
2;7;13;ESCUELA EST N°1;CENTENARIO Y PROF.CASTELLA;125;26;31
2;7;13;ESCUELA EP N°1/ES N°10;ALSINA Y BELGRANO;125;32;40
2;7;13;ESCUELA EP N°2/ES N°2;EDISON Y RONDEAU;125;41;49
2;7;13;ESCUELA EP N°9/ES N°9;LEYRIA 243;125;50;54
2;7;13;COLEGIO CERVANTES;AV.VENEZUELA 450;125;62;66
2;7;13;INSTITUTO JESUS SACRAMENTADO;AV.SAN MARTIN 583;125;58;61
2;7;13;JARDIN DE INFANTES N°901;ALSINA 337;125;55;57
